"year.s","region","OE_25","PC1r","PC2r","PC3r","year","lwr","fit","upr","lwr.diff","fit.diff","upr.diff","incr","decr","fit.incr","fit.decr","lwr.i","fit.i","upr.i","species"
0,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2002,28.0029655388024,34.9674958291186,44.3565434025284,-3.12871959420846,0.20167650106373,3.23592586970455,NA,NA,NA,NA,0.790950962570134,0.987665911540146,1.25286197463264,"Common Blackbird"
0.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2002.25,28.3029969876312,34.9998852302948,44.1699323616541,-3.0196792822359,0.197224884086467,3.26034530445618,NA,NA,NA,NA,0.799425427995006,0.98858075850526,1.24759109779636,"Common Blackbird"
0.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2002.5,28.5246976735054,35.0720862988291,43.9466292440017,-2.86991812818016,0.18754097862228,3.18886295617737,NA,NA,NA,NA,0.80568742087757,0.990620096252424,1.24128384381616,"Common Blackbird"
0.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2002.75,28.6497303569837,35.1380682121202,43.8398731788795,-2.64263211181337,0.171897412393207,2.96440957449029,NA,NA,NA,NA,0.80921900117441,0.992483772360495,1.23826849130459,"Common Blackbird"
1,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2003,28.7078880882958,35.1892368907918,43.7959185547462,-2.44527989550924,0.148568788098657,2.66380374132069,NA,NA,NA,NA,0.810861681250505,0.993929044847534,1.23702698164307,"Common Blackbird"
1.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2003.25,28.7875109497547,35.2204212287453,43.7457890784871,-2.24553222243529,0.119231999740066,2.42172374648497,NA,NA,NA,NA,0.813110649447328,0.994809854492042,1.2356110616954,"Common Blackbird"
1.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2003.5,28.8003475114862,35.2364041427368,43.7269122498669,-2.08359393830015,0.0928472776351441,2.17342617413063,NA,NA,NA,NA,0.813473221434341,0.99526129600772,1.23507788081687,"Common Blackbird"
1.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2003.75,28.7972565377525,35.2306312955349,43.6818495088924,-1.959049036385,0.0706421294793813,2.01442016972564,NA,NA,NA,NA,0.813385916086391,0.99509824045402,1.23380507211023,"Common Blackbird"
2,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2004,28.8339697960567,35.2699726814975,43.5804157707285,-1.99363767790572,0.0584248922308461,1.89894815761704,NA,NA,NA,NA,0.814422891507962,0.996209448017121,1.23094005009223,"Common Blackbird"
2.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2004.25,28.8401061742269,35.2854746648809,43.4802169526437,-1.98872542562611,0.0391676184108292,1.8952556967049,NA,NA,NA,NA,0.814596215087341,0.996647305524099,1.22810990870943,"Common Blackbird"
2.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2004.5,28.8728682261961,35.3131183857839,43.358209033887,-2.00305364877273,0.0328236901125933,1.89406660957658,NA,NA,NA,NA,0.815521587669929,0.997428109529552,1.22466376366996,"Common Blackbird"
2.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2004.75,28.9611556997263,35.3540496833726,43.1982469540685,-1.96166942361664,0.0314640707443914,1.90479166477075,NA,NA,NA,NA,0.8180152900628,0.998584224555376,1.22014559359145,"Common Blackbird"
3,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2005,29.0648008919196,35.3417856913169,43.133660427199,-1.8581123262198,0.048211911582996,1.86936251953984,NA,NA,NA,NA,0.82094277516853,0.998237824946094,1.21832133053168,"Common Blackbird"
3.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2005.25,29.0976786162586,35.365394754785,43.0722397135768,-1.74358534572328,0.0531935938496986,1.91130610883405,NA,NA,NA,NA,0.821871414946949,0.99890466901479,1.21658648668116,"Common Blackbird"
3.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2005.5,29.1757096964626,35.3817907641207,42.9744050203822,-1.67558893145348,0.0567778590010448,1.89379608629459,NA,NA,NA,NA,0.824075422872904,0.999367778514689,1.21382312061381,"Common Blackbird"
3.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2005.75,29.253916556785,35.4014815097892,42.9411790732414,-1.62615937050958,0.0636240249818343,1.88388071673717,NA,NA,NA,NA,0.826284395753503,0.999923948689548,1.21288464519281,"Common Blackbird"
4,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2006,29.3024482116109,35.4041740436207,42.9062389409518,-1.67609552625869,0.0638995185653357,1.92617234438863,NA,NA,NA,NA,0.827655184823914,1,1.21189775217148,"Common Blackbird"
4.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2006.25,29.3478222103803,35.4062237114784,42.878771039099,-1.69291516153258,0.0533557221515935,2.00588880078278,NA,NA,NA,NA,0.82893678508702,1.00005789339571,1.21112191422031,"Common Blackbird"
4.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2006.5,29.4170854539346,35.4508251658547,42.777393808831,-1.78687114034659,0.0286177706243507,1.99628962338849,NA,NA,NA,NA,0.830893143212166,1.00131767294378,1.20825848828237,"Common Blackbird"
4.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2006.75,29.4458233320805,35.4373849709341,42.7167574945464,-1.81447814446756,-0.000515503906228787,1.94327095766144,NA,NA,NA,NA,0.831704851970305,1.00093805118211,1.20654579999285,"Common Blackbird"
5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2007,29.4716683234244,35.4038348623806,42.7178955694925,-1.87634904874923,-0.0433374935582265,1.76242144923932,NA,NA,NA,NA,0.832434850396821,0.999990419738652,1.20657794521236,"Common Blackbird"
5.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2007.25,29.5325972058547,35.4034713182391,42.6559870149452,-1.95058545927473,-0.0966279180758534,1.5549906709591,NA,NA,NA,NA,0.834155802348849,0.99998015134089,1.20482932216946,"Common Blackbird"
5.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2007.5,29.5198717924337,35.3472902310953,42.5597139640341,-2.03072441190777,-0.157790766586174,1.36260553399126,NA,NA,NA,NA,0.833796369774448,0.998393302087621,1.20211006508999,"Common Blackbird"
5.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2007.75,29.5060315044398,35.3122413206763,42.4641418567166,-2.10341082496868,-0.200872368356642,1.188423421425,NA,NA,NA,NA,0.833405447281047,0.997403336600053,1.19941060634256,"Common Blackbird"
6,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2008,29.4928408059866,35.2290116877107,42.3200609261523,-2.22152009727594,-0.258322251056597,1.04998643909759,NA,NA,NA,NA,0.833032872611266,0.995052494214547,1.19534100340854,"Common Blackbird"
6.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2008.25,29.3961906389939,35.141687345843,42.1593957684702,-2.39241038304172,-0.296356486977345,0.970318383824774,NA,NA,NA,NA,0.83030296379109,0.99258599572315,1.19080297471497,"Common Blackbird"
6.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2008.5,29.2816055047348,35.0112490819439,42.083472124355,-2.51538251647787,-0.314267482579567,0.9231092257167,NA,NA,NA,NA,0.827066477208522,0.988901733417288,1.18865849186327,"Common Blackbird"
6.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2008.75,29.1544901728587,34.896122720711,41.9725621181874,-2.52828878689293,-0.315767243392884,0.908583225330162,NA,NA,NA,NA,0.823476071972136,0.98564995973967,1.1855258102187,"Common Blackbird"
7,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2009,29.0085137562341,34.8025654983428,41.8325260603194,-2.49347109312659,-0.300839639422179,0.909731115479317,NA,NA,NA,NA,0.819352930546928,0.983007411935759,1.18157045575413,"Common Blackbird"
7.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2009.25,28.7698013676407,34.6774522395941,41.721586289201,-2.4183459619973,-0.263861833644796,0.907127173871201,NA,NA,NA,NA,0.812610437746523,0.979473555769688,1.17843693339087,"Common Blackbird"
7.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2009.5,28.6607054206979,34.5956886247454,41.6383379204212,-2.26457596658669,-0.210013513353147,0.943980172676717,NA,NA,NA,NA,0.809528994671239,0.977164121442879,1.17608556180747,"Common Blackbird"
7.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2009.75,28.6117552693839,34.5430729351817,41.6686782556969,-2.01980566271587,-0.128935964305299,1.01212541142104,NA,NA,NA,NA,0.808146385059908,0.975677977761095,1.17694253237931,"Common Blackbird"
8,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2010,28.601423957468,34.5272678140787,41.6444540917092,-1.74825499277986,-0.0382251577946136,1.09624823717702,NA,NA,NA,NA,0.80785457449816,0.975231558051273,1.17625831463827,"Common Blackbird"
8.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2010.25,28.5743682595906,34.5191343211932,41.6192484393817,-1.58506953911441,0.0565885220638052,1.26931802758001,NA,NA,NA,NA,0.807090379354273,0.975001825453204,1.17554637450668,"Common Blackbird"
8.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2010.5,28.6563940975377,34.5185096371752,41.551984651672,-1.4352470278638,0.137350129847391,1.4698473952075,NA,NA,NA,NA,0.809407220239928,0.974984181092479,1.17364649152602,"Common Blackbird"
8.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2010.75,28.6417946838141,34.5575861248271,41.5935230422747,-1.26328988861246,0.23406015177585,1.68901149926182,NA,NA,NA,NA,0.808994856045085,0.976087906534677,1.17481975405014,"Common Blackbird"
9,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2011,28.6924486758904,34.6435153341089,41.6496593094281,-1.08617891825524,0.338248812656872,1.86093703331025,NA,NA,NA,NA,0.81042559107689,0.978514999147428,1.17640533735125,"Common Blackbird"
9.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2011.25,28.7856625971437,34.7463640977669,41.7579059716093,-0.945341802969679,0.440448987930608,2.05649297920196,NA,NA,NA,NA,0.813058442252528,0.981419988924376,1.17946279216005,"Common Blackbird"
9.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2011.5,28.9394774403936,34.8964717650876,41.8748463944195,-0.805762511218333,0.550494774849142,2.22501987546586,NA,NA,NA,NA,0.817402982053412,0.985659818587842,1.1827658044734,"Common Blackbird"
9.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2011.75,29.0709622186277,35.0395999862317,42.0259996005748,-0.624133951728112,0.647716138431065,2.3352769076137,NA,NA,NA,NA,0.821116803425776,0.989702511999295,1.18703516565012,"Common Blackbird"
10,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2012,29.2828170150348,35.2362447569473,42.2168814336662,-0.480788734966708,0.735191614928965,2.42820414774325,NA,NA,NA,NA,0.827100696628485,0.995256794115109,1.1924266721108,"Common Blackbird"
10.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2012.25,29.4556535677162,35.4456325373486,42.4562284773702,-0.387243285896233,0.818377938323067,2.52927095271893,NA,NA,NA,NA,0.831982509503669,1.00117100581634,1.199187090908,"Common Blackbird"
10.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2012.5,29.7058433752889,35.6747583597701,42.6411898530014,-0.312661948386861,0.887067892563209,2.67795109984625,NA,NA,NA,NA,0.839049184954546,1.00764272359005,1.20441137252529,"Common Blackbird"
10.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2012.75,29.9522769286557,35.9130450483484,42.860643641584,-0.271302640821425,0.940470685684147,2.8115299095699,NA,NA,NA,NA,0.846009764039464,1.01437319238406,1.21060990121606,"Common Blackbird"
11,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2013,30.2105192171163,36.1669800779534,43.1957390689422,-0.224478719790255,0.995694735443919,2.93269821042763,NA,NA,NA,NA,0.853303883883708,1.02154565259432,1.22007475773116,"Common Blackbird"
11.25,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2013.25,30.5155293929474,36.444079308993,43.4667536897259,-0.224145833916722,1.03120341766072,3.03365852155934,NA,NA,NA,NA,0.861918974733032,1.02937239163074,1.22772963538625,"Common Blackbird"
11.5,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2013.5,30.7734989911012,36.7251019311301,43.8950156301157,-0.203632244053509,1.04633302708379,3.13741890751196,NA,NA,NA,NA,0.869205392369438,1.03730994785761,1.23982600401957,"Common Blackbird"
11.75,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2013.75,31.0717129141219,37.0282563064136,44.1925132153512,-0.201305330628898,1.04532576493455,3.16488576367924,NA,NA,NA,NA,0.877628521310483,1.04587262114326,1.24822889981567,"Common Blackbird"
12,"atl","none",0.00173431879807217,0.00416016882823511,-0.000606191875824727,2014,31.3408026810635,37.3223282595195,44.5254409891122,-0.209072507574959,1.02280012384881,3.19996288568269,NA,NA,NA,NA,0.885229030973839,1.05417875907896,1.2576325303975,"Common Blackbird"
