"landscape","region","area_NRW","habitat","metro"
"A.no","atl",2209.135791,"A","no"
"B.no","atl",3960.252168,"B","no"
"KB.no","atl",966.0224146,"KB","no"
"KM.no","atl",2860.839135,"KM","no"
"SB.no","atl",0.952243336,"SB","no"
"ST.no","atl",6639.941875,"ST","no"
"A.yes","atl",453.5664805,"A","yes"
"B.yes","atl",1205.160577,"B","yes"
"KB.yes","atl",3.204319171,"KB","yes"
"KM.yes","atl",440.3419746,"KM","yes"
"SB.yes","atl",0.004796525,"SB","yes"
"ST.yes","atl",194.1553001,"ST","yes"
"A.no","kon",312.2505167,"A","no"
"B.no","kon",1405.176652,"B","no"
"KB.no","kon",3062.895956,"KB","no"
"KM.no","kon",59.99143323,"KM","no"
"SB.no","kon",9838.246615,"SB","no"
"ST.no","kon",186.5160876,"ST","no"
"A.yes","kon",105.9411624,"A","yes"
"B.yes","kon",7.030507719,"B","yes"
"KB.yes","kon",34.99331586,"KB","yes"
"KM.yes","kon",22.36988056,"KM","yes"
"SB.yes","kon",148.3512034,"SB","yes"
"ST.yes","kon",26.27034077,"ST","yes"
