"ID","Tmean_winter","Tmean_spring","Tmin_winter","Tmin_spring","Tmax_winter","Tmax_spring","rain_winter","rain_spring","sun_winter","sun_spring","altitude_asl","arable","forest","settlement"
"FS-001",4.420666667,7.917419355,-1.261290323,4.7,10.86451613,21.31290323,348.7333333,184.6451613,339.75,568.3333333,41.7,79.73449721,14.12561157,5.442796898
"FS-002",3.666,7.743870968,-2.396774194,4.251612903,10.25483871,21.20645161,346.1333333,186.1290323,310.25,550.8,88.3,72.43343871,7.038534755,6.73145388
"FS-003",3.925333333,7.780645161,-1.870967742,4.364516129,10.43225806,21.04516129,326.5333333,173.1935484,338.6785714,569.2333333,47.9,64.51427881,18.38514859,8.894499343
"FS-004",4.608,8.08,-1.025806452,5.029032258,11.05806452,21.55483871,336.4666667,182.2903226,339.5714286,568.3666667,24.8,90.25443426,0,9.745566326
"FS-005",4.057333333,7.758064516,-1.677419355,4.467741935,10.47419355,21.02258065,405.7666667,201.8709677,333.3214286,555.8,97.7,86.14412773,5.410184841,7.288546757
"FS-006",3.798666667,7.688387097,-1.829032258,4.296774194,10.21290323,20.88709677,343.9,171.8387097,319.6785714,558.9,43.4,92.29793336,5.305284881,1.942889861
"FS-007",4.345333333,7.830967742,-1.325806452,4.548387097,10.78064516,21.21290323,345.5333333,186.0645161,343.3928571,573.8333333,41.3,62.04989468,26.69335246,10.05678608
"FS-008",3.884666667,7.707096774,-1.9,4.316129032,10.32580645,20.93225806,325.3333333,170.4516129,332.25,563.7666667,53,89.13735034,6.901214831,3.579058924
"FS-009",3.53,7.696129032,-2.470967742,4.225806452,9.935483871,21.16451613,284.3,170.483871,311.6428571,560.9,58.9,77.24415577,14.37069851,0.695974837
"FS-010",4.203333333,7.830967742,-1.448387097,4.570967742,10.55806452,21.02258065,367.5,184.8064516,327.8214286,561.5333333,41.1,94.56392023,1.367471303,3.618831942
"FS-011",4.167333333,7.823870968,-1.577419355,4.483870968,10.61290323,21.11935484,371,190.1612903,328.2857143,557.6333333,72.1,85.53534931,9.720523266,3.615331663
"FS-012",3.574666667,7.592258065,-2.341935484,3.906451613,9.987096774,21.05806452,302.7666667,165.2580645,315.1785714,553.6666667,49,81.59593442,9.556734492,8.159671482
"FS-013",4.200666667,7.843225806,-1.45483871,4.583870968,10.53225806,21.02580645,367.6666667,184.9354839,326.9285714,561.1666667,43.4,90.23308072,6.230394059,1.997789928
"FS-014",3.884666667,7.749032258,-1.893548387,4.370967742,10.33548387,21.02258065,353.7,178.6129032,326.6071429,562.1,56.7,88.36064894,2.364725994,6.298763783
"FS-015",3.801333333,7.827741935,-2.238709677,4.258064516,10.33870968,21.31612903,339.1333333,178.6451613,309.5,552.7666667,82.1,83.71746326,1.807122834,13.12618965
"FS-016",3.582666667,7.584516129,-2.303225806,3.883870968,9.983870968,21.10322581,276.6333333,162.516129,310.1071429,552.7333333,41.7,86.64388147,1.640610204,10.97102238
"FS-017",3.888666667,7.730967742,-1.85483871,4.377419355,10.32903226,20.97419355,353.1333333,179.9677419,330.0357143,563.5,56.2,74.03964209,17.67998525,7.417116083
"FS-018",4.005333333,7.768387097,-1.703225806,4.438709677,10.42903226,20.99354839,334.2,171.2580645,327.5,562.3666667,58.6,65.25070557,6.547769299,19.89899165
"FS-019",3.919333333,7.837419355,-1.941935484,4.406451613,10.43870968,21.28064516,327.2333333,175.1935484,314.8928571,557.6666667,58.6,54.43578889,27.90992997,1.333741314
"FS-020",4.564,8.103870968,-0.948387097,5.203225806,11.02580645,21.52580645,316.3,182.6451613,341.6785714,564.7666667,44,56.47055181,30.84672,9.775795743
"FS-021",4.576666667,8.089032258,-0.929032258,5.116129032,10.98709677,21.43548387,319.4,171.1935484,340.6428571,573.0666667,23.3,47.46280596,13.67582381,21.17851711
"FS-022",3.605333333,7.670322581,-2.290322581,4.006451613,10.00322581,21.02903226,316.8333333,167.2258065,314.75,557.1666667,49,88.32265683,3.675329639,6.227357392
"FS-023",3.549333333,7.532903226,-2.425806452,3.703225806,9.903225806,21.07741935,289.5,166.483871,312.5714286,549.7333333,41.8,79.18873463,10.69793771,8.36334196
"FS-024",3.934,7.79483871,-1.851612903,4.338709677,10.43548387,21.09032258,332.4333333,172.9677419,335.9642857,569.1,49.9,70.35983109,24.06677715,3.5176538
"FS-025",4.178,7.785806452,-1.516129032,4.474193548,10.53548387,20.99032258,364.5,188.3870968,333.6428571,561.5,56.6,66.43283964,24.60014642,7.798397865
